shipment_id,shipment_type,source_city,destination_city,material_type,quantity_tonnes,booking_date,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_days,delay_flag,shipping_cost,expedite_surcharge,stockout_cost_per_tonne,carrier,temperature_sensitive,remarks
SHP0001,Outbound,Surat,Mumbai,Finished Yarn,8.12,2025-10-13,2025-10-16,2025-10-22,2025-10-16 01:00:00,2025-10-21 00:00:00,-1.0,0,3889.18,3404.46,1208.07,BlueDart,Yes,Expedited
SHP0002,Inbound,Gujarat,Surat,Finished Yarn,1.39,2025-10-18,2025-10-22,2025-10-25,2025-10-22 06:00:00,2025-11-02 09:36:00,8.4,1,1372.05,3099.03,931.95,Delhivery,Yes,Returned
SHP0003,Inbound,Gujarat,Surat,Raw Yarn,6.53,2025-07-03,2025-07-04,2025-07-09,2025-07-04 06:00:00,2025-07-11 16:48:00,2.7,1,4024.74,1185.8,1107.54,VRL Cargo,Yes,Returned
SHP0004,Outbound,Surat,Uttarakhand,Raw Yarn,4.24,2025-01-20,2025-01-24,2025-01-29,2025-01-24 08:00:00,2025-01-28 16:48:00,-0.3,0,2914.33,1390.69,1184.23,Delhivery,No,Expedited
SHP0005,Inbound,Punjab,Surat,Raw Yarn,9.36,2025-02-06,2025-02-08,2025-02-12,2025-02-08 02:00:00,2025-02-13 07:12:00,1.3,1,5480.42,1831.77,1067.7,VRL Cargo,No,Held at warehouse
SHP0006,Inbound,Chennai,Surat,Semi-Processed Yarn,1.59,2025-09-10,2025-09-12,2025-09-15,2025-09-12 08:00:00,2025-09-18 04:48:00,3.2,1,2304.02,2306.16,1070.44,GATI Logistics,Yes,Damaged
SHP0007,Inbound,Punjab,Surat,Finished Yarn,10.9,2025-10-16,2025-10-20,2025-10-26,2025-10-20 04:00:00,2025-10-30 07:12:00,4.3,1,7761.59,2104.0,796.27,BlueDart,Yes,Damaged
SHP0008,Inbound,Rajasthan,Surat,Raw Yarn,4.14,2025-01-05,2025-01-07,2025-01-09,2025-01-07 06:00:00,2025-01-09 09:36:00,0.4,1,1775.62,1795.37,1211.34,Delhivery,No,Returned
SHP0009,Outbound,Surat,West Bengal,Finished Yarn,16.01,2025-07-01,2025-07-05,2025-07-08,2025-07-05 01:00:00,2025-07-07 00:00:00,-1.0,0,5853.01,3918.42,1137.56,VRL Cargo,Yes,Normal
SHP0010,Outbound,Surat,Kerala,Raw Yarn,17.86,2025-05-22,2025-05-23,2025-05-27,2025-05-22 19:00:00,2025-06-01 07:12:00,5.3,1,8145.26,2024.27,540.43,VRL Cargo,Yes,Damaged
SHP0011,Inbound,Punjab,Surat,Raw Yarn,14.5,2025-02-03,2025-02-05,2025-02-09,2025-02-04 22:00:00,2025-02-11 07:12:00,2.3,1,8171.89,1557.33,1104.42,BlueDart,No,Expedited
SHP0012,Outbound,Surat,Madhya Pradesh,Finished Yarn,11.26,2025-03-02,2025-03-06,2025-03-10,2025-03-05 21:00:00,2025-03-11 02:24:00,1.1,1,5508.07,4232.48,1133.4,VRL Cargo,Yes,Expedited
SHP0013,Inbound,Punjab,Surat,Finished Yarn,17.56,2025-08-30,2025-08-31,2025-09-04,2025-08-31 03:00:00,2025-09-03 16:48:00,-0.3,0,5426.44,1911.74,927.11,Delhivery,Yes,Held at warehouse
SHP0014,Outbound,Surat,Mumbai,Raw Yarn,16.54,2025-09-16,2025-09-17,2025-09-21,2025-09-17 03:00:00,2025-09-21 21:36:00,0.9,1,8625.16,2077.65,744.13,GATI Logistics,No,Damaged
SHP0015,Inbound,Chennai,Surat,Finished Yarn,4.2,2025-03-07,2025-03-10,2025-03-15,2025-03-09 22:00:00,2025-03-17 19:12:00,2.8,1,2769.31,3849.08,648.09,BlueDart,Yes,Damaged
SHP0016,Inbound,Rajasthan,Surat,Raw Yarn,19.96,2025-03-22,2025-03-26,2025-03-31,2025-03-26 00:00:00,2025-04-01 19:12:00,1.8,1,5405.55,3537.41,1180.71,BlueDart,Yes,Expedited
SHP0017,Outbound,Surat,Uttarakhand,Semi-Processed Yarn,11.09,2025-05-15,2025-05-18,2025-05-23,2025-05-17 19:00:00,2025-05-24 09:36:00,1.4,1,5964.83,3529.22,1133.53,Delhivery,No,Returned
SHP0018,Inbound,Chennai,Surat,Raw Yarn,11.18,2025-01-28,2025-02-01,2025-02-06,2025-02-01 05:00:00,2025-02-05 21:36:00,-0.1,0,3199.49,3363.57,1177.56,Delhivery,No,Normal
SHP0019,Outbound,Surat,Madhya Pradesh,Raw Yarn,1.32,2025-06-03,2025-06-04,2025-06-09,2025-06-04 01:00:00,2025-06-10 14:24:00,1.6,1,1465.34,2364.27,613.47,VRL Cargo,No,Returned
SHP0020,Inbound,Rajasthan,Surat,Finished Yarn,18.57,2025-09-21,2025-09-23,2025-09-28,2025-09-23 04:00:00,2025-10-01 21:36:00,3.9,1,11832.12,2043.32,1496.25,TCI Express,No,Returned
SHP0453,Inbound,Maharashtra,Ahmedabad,Finished Yarn,22.41,2025-10-02,2025-10-04,2025-10-09,2025-10-04 06:15:00,2025-10-10 19:20:00,4.6,0,13675.55,2310.80,1625.90,Delhivery,Yes,Delivered
SHP0021,Outbound,Surat,Mumbai,Finished Yarn,19.34,2025-06-17,2025-06-21,2025-06-23,2025-06-20 21:00:00,2025-06-27 21:36:00,4.9,1,10654.35,4551.08,1350.93,GATI Logistics,No,Held at warehouse
SHP0022,Inbound,Rajasthan,Surat,Raw Yarn,18.78,2025-08-24,2025-08-27,2025-08-31,2025-08-27 08:00:00,2025-08-30 00:00:00,-1.0,0,14893.74,2135.68,805.36,TCI Express,Yes,Held at warehouse
SHP0023,Outbound,Surat,Assam,Finished Yarn,10.23,2025-05-15,2025-05-19,2025-05-24,2025-05-18 23:00:00,2025-05-23 02:24:00,-0.9,0,3798.01,3976.68,1220.94,GATI Logistics,No,Returned
SHP0024,Outbound,Surat,Assam,Semi-Processed Yarn,6.85,2025-06-12,2025-06-15,2025-06-21,2025-06-14 21:00:00,2025-06-25 09:36:00,4.4,1,5219.47,4179.25,1002.64,VRL Cargo,Yes,Returned
SHP0025,Inbound,Gujarat,Surat,Raw Yarn,11.96,2025-05-28,2025-05-29,2025-06-04,2025-05-28 19:00:00,2025-06-14 09:36:00,10.4,1,5309.14,2879.78,779.56,BlueDart,No,Expedited
SHP0026,Inbound,Uttar Pradesh,Surat,Raw Yarn,17.79,2025-08-13,2025-08-17,2025-08-23,2025-08-16 19:00:00,2025-08-24 21:36:00,1.9,1,9014.27,4921.33,575.35,GATI Logistics,No,Normal
SHP0027,Outbound,Surat,Uttarakhand,Raw Yarn,6.81,2025-02-27,2025-03-01,2025-03-05,2025-03-01 09:00:00,2025-03-07 14:24:00,2.6,1,5929.89,1281.66,708.92,VRL Cargo,No,Returned
SHP0028,Inbound,Uttar Pradesh,Surat,Finished Yarn,13.75,2025-04-18,2025-04-20,2025-04-23,2025-04-19 20:00:00,2025-04-22 00:00:00,-1.0,0,7082.6,1546.49,1208.91,TCI Express,Yes,Returned
SHP0029,Outbound,Surat,Gujarat,Finished Yarn,11.5,2025-03-30,2025-04-01,2025-04-04,2025-04-01 07:00:00,2025-04-07 12:00:00,3.5,1,3373.35,2587.14,550.77,BlueDart,No,Held at warehouse
SHP0030,Inbound,Uttar Pradesh,Surat,Semi-Processed Yarn,17.85,2025-01-09,2025-01-12,2025-01-16,2025-01-12 03:00:00,2025-01-29 14:24:00,13.6,1,8031.73,4355.73,1360.4,GATI Logistics,Yes,Expedited
SHP0031,Inbound,Gujarat,Surat,Finished Yarn,5.75,2025-01-12,2025-01-14,2025-01-18,2025-01-13 23:00:00,2025-01-20 04:48:00,2.2,1,3863.93,2829.06,1342.02,Delhivery,Yes,Returned
SHP0032,Inbound,Gujarat,Surat,Finished Yarn,4.69,2025-05-04,2025-05-07,2025-05-12,2025-05-07 07:00:00,2025-05-11 00:00:00,-1.0,0,4293.5,1164.27,898.82,GATI Logistics,Yes,Normal
SHP0033,Outbound,Surat,West Bengal,Raw Yarn,9.24,2025-08-12,2025-08-14,2025-08-17,2025-08-14 04:00:00,2025-08-16 16:48:00,-0.3,0,5975.42,1959.15,593.87,Delhivery,Yes,Held at warehouse
SHP0034,Outbound,Surat,Gujarat,Finished Yarn,4.47,2025-10-08,2025-10-11,2025-10-17,2025-10-11 01:00:00,2025-10-24 00:00:00,7.0,1,3066.5,3920.16,547.72,VRL Cargo,No,Expedited
SHP0035,Outbound,Surat,Karnataka,Raw Yarn,11.75,2025-02-17,2025-02-18,2025-02-24,2025-02-18 04:00:00,2025-02-25 07:12:00,1.3,1,8244.8,2385.22,964.67,GATI Logistics,Yes,Damaged
SHP0036,Inbound,Rajasthan,Surat,Semi-Processed Yarn,13.35,2025-01-15,2025-01-19,2025-01-24,2025-01-18 20:00:00,2025-01-31 14:24:00,7.6,1,3822.41,4733.75,1001.04,GATI Logistics,Yes,Normal
SHP0037,Inbound,Punjab,Surat,Raw Yarn,11.25,2025-07-25,2025-07-28,2025-07-31,2025-07-28 05:00:00,2025-08-02 04:48:00,2.2,1,7584.49,3293.47,628.5,VRL Cargo,Yes,Expedited
